battle,year,french_losses,latitude,longitude
Lodi,1796,350,45.30989,9.50085
Rivoli,1797,3200,45.57107,10.80385
Pyramids,1798,289,30.083,31.2
Marengo,1800,5600,44.8833,8.6833
Austerlitz,1805,1288,49.1233,16.7582
Ulm,1805,1500,48.3833,9.9833
Jena-Auerstedt,1806,12600,50.9288,11.5899
Eylau,1807,15000,54.4,20.633
Friedland,1807,9000,54.45,21.017
Aspern-Essling,1809,20000,48.21306,16.5025
Wagram,1809,35060,48.2956,16.5578
Borodino,1812,30000,55.5281,35.8131
Bautzen,1813,22500,51.1833,14.4167
Dresden,1813,10000,51.033,13.733
Leipzig,1813,60000,51.33969,12.37307
Lutzen,1813,21000,51.2167,12.1833
Ligny,1815,10000,50.52027,4.5814
Waterloo,1815,26000,50.71469,4.3991
